churn_month,product,billingCountry,starting_revenue,starting_customers,retained_revenue,retained_customers
2015-02-01,BUSINESS,United Kingdom,671.9833333333333,2,671.9833333333333,2
2015-02-01,BUSINESS,United States,399.99,1,0.0,0
2015-02-01,GURU,United States,703.965,4,703.965,4
2015-02-01,PRO,Canada,79.99,1,0.0,0
2015-02-01,PRO,France,83.99166666666666,1,83.99166666666666,1
2015-02-01,PRO,India,199.98,2,0.0,0
2015-02-01,PRO,United Kingdom,183.98166666666665,2,419.98333333333335,2
2015-02-01,PRO,United States,183.98166666666665,2,183.98166666666665,2
2015-03-01,BUSINESS,India,399.99,1,0.0,0
2015-03-01,BUSINESS,United Kingdom,1743.9566666666667,5,1343.9666666666667,4
2015-03-01,GURU,Canada,167.99166666666667,1,167.99166666666667,1
2015-03-01,GURU,France,399.98,2,0.0,0
2015-03-01,GURU,India,359.98,2,0.0,0
2015-03-01,GURU,United Kingdom,1167.9416666666666,6,167.99166666666667,1
2015-03-01,GURU,United States,1103.9450000000002,6,703.965,4
2015-03-01,PRO,Canada,183.98166666666665,2,83.99166666666666,1
2015-03-01,PRO,France,283.97166666666664,3,83.99166666666666,1
2015-03-01,PRO,India,713.9216666666666,8,83.99166666666666,1
2015-03-01,PRO,United Kingdom,951.905,10,751.9549999999999,5
2015-03-01,PRO,United States,617.9333333333333,7,467.9533333333333,5
2015-04-01,BUSINESS,India,799.98,2,399.99,1
2015-04-01,BUSINESS,United Kingdom,2799.9283333333333,8,2179.9383333333335,7
2015-04-01,BUSINESS,United States,799.98,2,0.0,0
2015-04-01,GURU,Canada,735.9633333333334,4,735.9633333333334,4
2015-04-01,GURU,France,399.98,2,0.0,0
2015-04-01,GURU,India,599.97,3,399.99,1
2015-04-01,GURU,United Kingdom,1371.936666666667,8,771.9666666666667,5
2015-04-01,GURU,United States,1663.9250000000002,10,1003.955,6
2015-04-01,PRO,Canada,267.9733333333333,3,327.97333333333336,3
2015-04-01,PRO,France,363.96166666666664,4,183.98166666666665,2
2015-04-01,PRO,India,367.9633333333333,4,367.97333333333336,3
2015-04-01,PRO,United Kingdom,1021.8941666666666,12,1141.9141666666667,10
2015-04-01,PRO,United States,1983.7999999999995,21,903.91,10
2015-05-01,BUSINESS,France,399.99,1,0.0,0
2015-05-01,BUSINESS,India,1135.9716666666668,3,735.9816666666667,2
2015-05-01,BUSINESS,United Kingdom,3551.9116666666673,10,3551.9116666666673,10
2015-05-01,BUSINESS,United States,1135.9716666666668,3,335.9916666666667,1
2015-05-01,GURU,Canada,2199.888333333334,12,1439.9283333333337,8
