metric_month,product,billingCountry,no_customers,mrr
2015-01-01,BUSINESS,United Kingdom,2,671.9833333333333
2015-01-01,BUSINESS,United States,1,399.99
2015-01-01,GURU,United States,4,703.965
2015-01-01,PRO,Canada,1,79.99
2015-01-01,PRO,France,1,83.99166666666666
2015-01-01,PRO,India,2,199.98
2015-01-01,PRO,United Kingdom,2,183.98166666666665
2015-01-01,PRO,United States,2,183.98166666666665
2015-02-01,BUSINESS,India,1,399.99
2015-02-01,BUSINESS,United Kingdom,5,1743.956666666667
2015-02-01,GURU,Canada,1,167.99166666666667
2015-02-01,GURU,France,2,399.98
2015-02-01,GURU,India,2,359.98
2015-02-01,GURU,United Kingdom,6,1167.9416666666666
2015-02-01,GURU,United States,6,1103.9450000000002
2015-02-01,PRO,Canada,2,183.98166666666665
2015-02-01,PRO,France,3,283.97166666666664
2015-02-01,PRO,India,8,713.9216666666666
2015-02-01,PRO,United Kingdom,10,951.905
2015-02-01,PRO,United States,7,617.9333333333333
2015-03-01,BUSINESS,India,2,799.98
2015-03-01,BUSINESS,United Kingdom,8,2799.9283333333333
2015-03-01,BUSINESS,United States,2,799.98
2015-03-01,GURU,Canada,4,735.9633333333334
2015-03-01,GURU,France,2,399.98
2015-03-01,GURU,India,3,599.97
2015-03-01,GURU,United Kingdom,8,1371.9366666666667
2015-03-01,GURU,United States,10,1663.9250000000002
2015-03-01,PRO,Canada,3,267.9733333333333
2015-03-01,PRO,France,4,363.96166666666664
2015-03-01,PRO,India,4,367.9633333333333
2015-03-01,PRO,United Kingdom,12,1021.8941666666667
2015-03-01,PRO,United States,21,1983.7999999999997
2015-04-01,BUSINESS,France,1,399.99
2015-04-01,BUSINESS,India,3,1135.9716666666668
2015-04-01,BUSINESS,United Kingdom,10,3551.911666666667
2015-04-01,BUSINESS,United States,3,1135.9716666666668
2015-04-01,GURU,Canada,12,2199.8883333333333
2015-04-01,GURU,France,8,1431.9266666666667
2015-04-01,GURU,India,1,199.99
2015-04-01,GURU,United Kingdom,15,2739.868333333333
2015-04-01,GURU,United States,15,2667.87
2015-04-01,PRO,Canada,4,367.9633333333333
2015-04-01,PRO,France,6,583.9416666666666
2015-04-01,PRO,India,12,1119.8883333333333
2015-04-01,PRO,United Kingdom,28,2535.744999999999
2015-04-01,PRO,United States,24,2235.7749999999996
2015-05-01,BUSINESS,France,1,399.99
2015-05-01,BUSINESS,India,3,1135.9716666666668
2015-05-01,BUSINESS,United Kingdom,14,4887.883333333333
2015-05-01,BUSINESS,United States,5,1807.9550000000002
2015-05-01,GURU,Canada,13,2367.88
2015-05-01,GURU,France,8,1439.9283333333333
2015-05-01,GURU,India,7,1359.93
2015-05-01,GURU,United Kingdom,16,2907.8599999999997
2015-05-01,GURU,United States,27,4942.151666666665
2015-05-01,PRO,Canada,7,635.9366666666666
2015-05-01,PRO,France,5,463.95166666666665
2015-05-01,PRO,India,24,2187.771666666666
2015-05-01,PRO,United Kingdom,41,3514.8324999999977
2015-05-01,PRO,United States,31,2871.711666666665
2015-06-01,BUSINESS,Canada,1,399.99
2015-06-01,BUSINESS,France,1,335.9916666666667
2015-06-01,BUSINESS,India,4,1535.9616666666668
2015-06-01,BUSINESS,United Kingdom,11,3887.9033333333336
2015-06-01,BUSINESS,United States,9,2879.9383333333335
2015-06-01,GURU,Canada,10,1807.91
2015-06-01,GURU,France,11,1975.9016666666669
2015-06-01,GURU,India,14,2563.875
2015-06-01,GURU,United Kingdom,21,4007.7999999999984
2015-06-01,GURU,United States,25,4414.178333333332
2015-06-01,PRO,Canada,19,1733.82
2015-06-01,PRO,France,8,709.9291666666667
2015-06-01,PRO,India,27,2465.744999999999
2015-06-01,PRO,United Kingdom,51,4522.744166666663
2015-06-01,PRO,United States,39,3586.8383333333304
2015-07-01,BUSINESS,France,4,1471.9633333333334
2015-07-01,BUSINESS,India,4,1535.9616666666668
2015-07-01,BUSINESS,United Kingdom,17,6079.846666666666
2015-07-01,BUSINESS,United States,9,3079.9283333333333
2015-07-01,GURU,Canada,13,2275.8916666666664
2015-07-01,GURU,France,10,1775.9116666666666
2015-07-01,GURU,India,11,2063.8950000000004
2015-07-01,GURU,United Kingdom,18,3194.2408333333324
2015-07-01,GURU,United States,30,5258.938333333333
2015-07-01,PRO,Canada,25,2245.765
2015-07-01,PRO,France,13,1193.8808333333334
2015-07-01,PRO,India,36,3202.866666666665
2015-07-01,PRO,United Kingdom,59,5216.674999999993
2015-07-01,PRO,United States,56,5058.682499999995
2015-08-01,BUSINESS,Canada,2,799.98
2015-08-01,BUSINESS,France,2,671.9833333333333
2015-08-01,BUSINESS,India,5,1935.9516666666668
2015-08-01,BUSINESS,United Kingdom,20,7167.821666666667
2015-08-01,BUSINESS,United States,13,4679.888333333332
2015-08-01,GURU,Canada,14,2443.883333333333
2015-08-01,GURU,France,14,2479.876666666666
2015-08-01,GURU,India,22,3852.6108333333323
2015-08-01,GURU,United Kingdom,27,4822.162499999998
2015-08-01,GURU,United States,35,6194.8916666666655
2015-08-01,PRO,Canada,28,2525.7349999999988
2015-08-01,PRO,France,19,1693.8208333333334
2015-08-01,PRO,India,45,4008.783333333329
2015-08-01,PRO,United Kingdom,69,6022.589999999994
2015-08-01,PRO,United States,69,6166.564166666659
2015-09-01,BUSINESS,France,3,1071.9733333333334
2015-09-01,BUSINESS,India,8,2871.9333333333334
2015-09-01,BUSINESS,United Kingdom,24,8639.784999999998
2015-09-01,BUSINESS,United States,14,4799.888333333332
2015-09-01,GURU,Canada,24,4371.784999999998
2015-09-01,GURU,France,23,4131.794166666666
2015-09-01,GURU,India,28,5056.545833333331
2015-09-01,GURU,United Kingdom,32,5758.115833333331
