metric_month,billingCountry,product_outcome,no_customers
2015-02-01,United Kingdom,Upgrade,1
2015-03-01,United Kingdom,Upgrade,1
2015-04-01,United Kingdom,Downgrade,1
2015-04-01,Canada,Upgrade,1
2015-04-01,India,Upgrade,2
2015-04-01,United Kingdom,Upgrade,1
2015-05-01,France,Downgrade,1
2015-05-01,United Kingdom,Downgrade,1
2015-05-01,United States,Downgrade,2
2015-05-01,United States,Upgrade,2
2015-06-01,Canada,Downgrade,3
2015-06-01,France,Downgrade,1
2015-06-01,India,Downgrade,1
2015-06-01,United Kingdom,Downgrade,3
2015-06-01,United States,Downgrade,1
2015-06-01,Canada,Upgrade,1
2015-06-01,United States,Upgrade,1
2015-07-01,India,Downgrade,2
2015-07-01,United Kingdom,Downgrade,2
2015-07-01,United Kingdom,Upgrade,1
2015-07-01,United States,Upgrade,1
2015-08-01,United States,Downgrade,3
2015-08-01,India,Upgrade,1
2015-08-01,United Kingdom,Upgrade,3
2015-08-01,United States,Upgrade,1
2015-09-01,India,Downgrade,2
2015-09-01,United Kingdom,Downgrade,2
2015-09-01,United States,Downgrade,1
2015-09-01,Canada,Upgrade,2
2015-09-01,France,Upgrade,1
2015-09-01,India,Upgrade,1
2015-09-01,United States,Upgrade,4
2015-10-01,Canada,Downgrade,2
2015-10-01,India,Downgrade,1
2015-10-01,United States,Downgrade,4
2015-10-01,Canada,Upgrade,2
2015-10-01,India,Upgrade,2
2015-10-01,United Kingdom,Upgrade,3
2015-10-01,United States,Upgrade,2
2015-11-01,Canada,Downgrade,2
2015-11-01,India,Downgrade,1
2015-11-01,United Kingdom,Downgrade,1
2015-11-01,United States,Downgrade,5
2015-11-01,Canada,Upgrade,1
2015-11-01,United Kingdom,Upgrade,5
2015-11-01,United States,Upgrade,3
2015-12-01,France,Downgrade,3
2015-12-01,India,Downgrade,3
2015-12-01,United Kingdom,Downgrade,4
2015-12-01,United States,Downgrade,3
2015-12-01,France,Upgrade,1
2015-12-01,India,Upgrade,3
2015-12-01,United Kingdom,Upgrade,3
2015-12-01,United States,Upgrade,4
2016-01-01,Canada,Downgrade,2
2016-01-01,France,Downgrade,1
2016-01-01,India,Downgrade,3
2016-01-01,United Kingdom,Downgrade,1
2016-01-01,United States,Downgrade,4
2016-01-01,Canada,Upgrade,2
2016-01-01,France,Upgrade,1
2016-01-01,India,Upgrade,3
2016-01-01,United Kingdom,Upgrade,4
2016-01-01,United States,Upgrade,3
2016-02-01,Canada,Downgrade,1
2016-02-01,India,Downgrade,6
2016-02-01,United Kingdom,Downgrade,6
2016-02-01,United States,Downgrade,1
2016-02-01,Canada,Upgrade,3
2016-02-01,India,Upgrade,2
2016-02-01,United Kingdom,Upgrade,5
2016-02-01,United States,Upgrade,4
2016-03-01,Canada,Downgrade,2
2016-03-01,India,Downgrade,2
2016-03-01,United Kingdom,Downgrade,6
2016-03-01,United States,Downgrade,4
2016-03-01,Canada,Upgrade,1
2016-03-01,France,Upgrade,1
2016-03-01,India,Upgrade,5
2016-03-01,United Kingdom,Upgrade,7
2016-03-01,United States,Upgrade,7
2016-04-01,Canada,Downgrade,2
2016-04-01,France,Downgrade,3
2016-04-01,India,Downgrade,4
2016-04-01,United Kingdom,Downgrade,12
2016-04-01,United States,Downgrade,7
2016-04-01,Canada,Upgrade,1
2016-04-01,France,Upgrade,3
2016-04-01,India,Upgrade,5
2016-04-01,United Kingdom,Upgrade,7
2016-04-01,United States,Upgrade,6
2016-05-01,Canada,Downgrade,1
2016-05-01,France,Downgrade,2
2016-05-01,India,Downgrade,8
2016-05-01,United Kingdom,Downgrade,7
2016-05-01,United States,Downgrade,7
2016-05-01,Canada,Upgrade,2
2016-05-01,India,Upgrade,4
2016-05-01,United Kingdom,Upgrade,6
2016-05-01,United States,Upgrade,10
2016-06-01,Canada,Downgrade,3
2016-06-01,France,Downgrade,3
2016-06-01,India,Downgrade,7
2016-06-01,United Kingdom,Downgrade,5
2016-06-01,United States,Downgrade,8
2016-06-01,Canada,Upgrade,1
2016-06-01,France,Upgrade,2
2016-06-01,India,Upgrade,5
2016-06-01,United Kingdom,Upgrade,6
2016-06-01,United States,Upgrade,5
2016-07-01,Canada,Downgrade,2
2016-07-01,France,Downgrade,1
2016-07-01,India,Downgrade,5
2016-07-01,United Kingdom,Downgrade,15
2016-07-01,United States,Downgrade,4
2016-07-01,Canada,Upgrade,1
2016-07-01,France,Upgrade,1
2016-07-01,India,Upgrade,7
2016-07-01,United Kingdom,Upgrade,6
2016-07-01,United States,Upgrade,9
2016-08-01,Canada,Downgrade,3
2016-08-01,France,Downgrade,4
2016-08-01,India,Downgrade,7
2016-08-01,United Kingdom,Downgrade,11
2016-08-01,United States,Downgrade,12
2016-08-01,Canada,Upgrade,3
2016-08-01,France,Upgrade,5
2016-08-01,India,Upgrade,6
2016-08-01,United Kingdom,Upgrade,6
2016-08-01,United States,Upgrade,8
2016-09-01,Canada,Downgrade,4
2016-09-01,France,Downgrade,1
2016-09-01,India,Downgrade,4
2016-09-01,United Kingdom,Downgrade,11
2016-09-01,United States,Downgrade,9
2016-09-01,Canada,Upgrade,4
2016-09-01,France,Upgrade,4
2016-09-01,India,Upgrade,12
2016-09-01,United Kingdom,Upgrade,11
2016-09-01,United States,Upgrade,8
2016-10-01,Canada,Downgrade,3
2016-10-01,France,Downgrade,3
2016-10-01,India,Downgrade,9
2016-10-01,United Kingdom,Downgrade,10
2016-10-01,United States,Downgrade,9
2016-10-01,Canada,Upgrade,1
2016-10-01,France,Upgrade,3
2016-10-01,India,Upgrade,15
